PERMNO,date,NCUSIP,TICKER,PRC,RET,ewretd,sprtrn
11995,20150129,19109810,COKE,98.69000,-0.023161,0.006213,0.009535
11995,20150130,19109810,COKE,97.54000,-0.011653,-0.009642,-0.012992
11995,20150202,19109810,COKE,97.28000,-0.002666,0.008778,0.012962
11995,20150203,19109810,COKE,98.54000,0.012952,0.015438,0.014439
11995,20150204,19109810,COKE,101.58000,0.030850,-0.004505,-0.004156
11995,20150205,19109810,COKE,101.92000,0.003347,0.011660,0.010291
11995,20150206,19109810,COKE,100.50000,-0.013932,-0.002859,-0.003418
11995,20150209,19109810,COKE,99.68000,-0.008159,-0.001982,-0.004247
11995,20150210,19109810,COKE,100.15000,0.004715,0.002269,0.010676
11995,20150211,19109810,COKE,99.52000,-0.006291,-0.001284,-0.000029
11995,20150212,19109810,COKE,100.29000,0.007737,0.009911,0.009645
11995,20150213,19109810,COKE,100.77000,0.004786,0.007141,0.004075
11995,20150217,19109810,COKE,100.32000,-0.004466,0.002177,0.001598
11995,20150218,19109810,COKE,102.94000,0.026116,0.002184,-0.000314
11995,20150219,19109810,COKE,101.79000,-0.011172,0.000438,-0.001062
11995,20150220,19109810,COKE,102.24000,0.004421,0.001812,0.006126
11995,20150223,19109810,COKE,102.76000,0.005086,-0.002193,-0.000303
11995,20150224,19109810,COKE,103.38000,0.006033,0.003297,0.002759
11995,20150225,19109810,COKE,103.59000,0.002031,0.003326,-0.000766
11995,20150226,19109810,COKE,103.80000,0.002027,-0.000217,-0.001476
11995,20150227,19109810,COKE,104.39000,0.005684,-0.001387,-0.002956
11995,20150302,19109810,COKE,105.65000,0.012070,0.003497,0.006125
11995,20150303,19109810,COKE,106.37000,0.006815,-0.003160,-0.004539
11995,20150304,19109810,COKE,104.24000,-0.020024,-0.002639,-0.004389
11995,20150305,19109810,COKE,101.41000,-0.027149,0.002430,0.001196
11995,20150306,19109810,COKE,102.01000,0.005917,-0.010882,-0.014174
11995,20150309,19109810,COKE,105.68000,0.035977,-0.000855,0.003944
11995,20150310,19109810,COKE,104.84000,-0.007949,-0.012273,-0.016961
11995,20150311,19109810,COKE,103.64000,-0.011446,0.002090,-0.001918
11995,20150312,19109810,COKE,106.48000,0.027403,0.009584,0.012601
11995,20150313,19109810,COKE,106.65000,0.001597,-0.004492,-0.006075
11995,20150316,19109810,COKE,107.90000,0.011721,0.002426,0.013534
11995,20150317,19109810,COKE,106.17000,-0.016033,0.000823,-0.003320
11995,20150318,19109810,COKE,107.00000,0.007818,0.010276,0.012158
11995,20150319,19109810,COKE,106.77000,-0.002150,-0.001079,-0.004873
11995,20150320,19109810,COKE,107.59000,0.007680,0.007192,0.009013
11995,20150323,19109810,COKE,107.39000,-0.001859,0.003383,-0.001746
11995,20150324,19109810,COKE,108.88000,0.013875,0.000195,-0.006139
11995,20150325,19109810,COKE,106.88000,-0.018369,-0.013048,-0.014559
11995,20150326,19109810,COKE,106.97000,0.000842,-0.002226,-0.002377
11995,20150327,19109810,COKE,111.57000,0.043003,0.002274,0.002369
11995,20150330,19109810,COKE,113.57000,0.017926,0.006824,0.012237
11995,20150331,19109810,COKE,113.06000,-0.004491,-0.003532,-0.008796
11995,20150401,19109810,COKE,114.00000,0.008314,0.001030,-0.003965
11995,20150402,19109810,COKE,114.52000,0.004561,0.004717,0.003530
11995,20150406,19109810,COKE,115.43000,0.007946,0.006034,0.006609
11995,20150407,19109810,COKE,115.71000,0.002426,0.000123,-0.002062
11995,20150408,19109810,COKE,116.00000,0.002506,0.004546,0.002683
11995,20150409,19109810,COKE,114.51000,-0.012845,0.001319,0.004457
11995,20150410,19109810,COKE,115.86000,0.011789,0.003482,0.005203
11995,20150413,19109810,COKE,115.07000,-0.006819,-0.000351,-0.004581
11995,20150414,19109810,COKE,115.30000,0.001999,0.003114,0.001630
11995,20150415,19109810,COKE,115.11000,-0.001648,0.008045,0.005148
11995,20150416,19109810,COKE,115.05000,-0.000521,0.000407,-0.000778
11995,20150417,19109810,COKE,111.32000,-0.032421,-0.010509,-0.011311
11995,20150420,19109810,COKE,113.70000,0.021380,0.005608,0.009235
11995,20150421,19109810,COKE,114.73000,0.009059,-0.000226,-0.001481
11995,20150422,19109810,COKE,114.19000,-0.004707,0.001945,0.005088
11995,20150423,19109810,COKE,113.04000,-0.010071,0.005485,0.002358
11995,20150424,19109810,COKE,113.36000,0.002831,-0.000626,0.002253
11995,20150427,19109810,COKE,114.01000,0.005734,-0.006120,-0.004141
11995,20150428,19109810,COKE,113.95000,-0.000526,0.002986,0.002769
11995,20150429,19109810,COKE,111.46000,-0.019658,-0.004958,-0.003740
11995,20150430,19109810,COKE,113.00000,0.013817,-0.011719,-0.010129
11995,20150501,19109810,COKE,111.51000,-0.013186,0.004762,0.010923
11995,20150504,19109810,COKE,112.32000,0.007264,0.003481,0.002941
11995,20150505,19109810,COKE,112.25000,-0.000623,-0.009817,-0.011837
11995,20150506,19109810,COKE,113.26000,0.008998,-0.002460,-0.004456
